asn,operator,observed_records_bucket,prefix_count,provider_count,country_count,country_examples,data_origin
10066,GAYANET-AS-KR LG HelloVision Corp.,aggregate,1,1,1,South Korea,VPN-Infrastructure-Atlas
10297,ENET-2,aggregate,2,2,1,United States,VPN-Infrastructure-Atlas
10753,LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE,aggregate,1,1,1,United States,VPN-Infrastructure-Atlas
10929,ESTRUXTURE-QC-10929,aggregate,1,1,1,Canada,VPN-Infrastructure-Atlas
11117,NUYEK,aggregate,2,1,1,United States,VPN-Infrastructure-Atlas
11232,MIDCO-NET,aggregate,1,1,1,United States,VPN-Infrastructure-Atlas
11831,ESECUREDATA,aggregate,13,11,1,Canada,VPN-Infrastructure-Atlas
11878,TZULO,aggregate,109,7,1,United States,VPN-Infrastructure-Atlas
12297,TELECOM-ARMENIA Telecom Armenia AS,aggregate,1,1,1,Armenia,VPN-Infrastructure-Atlas
12322,PROXAD,aggregate,3,1,1,France,VPN-Infrastructure-Atlas
12389,ROSTELECOM-AS PJSC Rostelecom. Technical Team,aggregate,7,2,1,Russia,VPN-Infrastructure-Atlas
12417,DHH-AS,aggregate,1,1,1,Croatia,VPN-Infrastructure-Atlas
12479,UNI2-AS,aggregate,1,1,1,Spain,VPN-Infrastructure-Atlas
1257,TELE2,aggregate,4,4,2,Estonia; European Union,VPN-Infrastructure-Atlas
12735,ASTURKNET,aggregate,1,1,1,Türkiye,VPN-Infrastructure-Atlas
12844,BOUYGTEL-B2B,aggregate,1,1,1,France,VPN-Infrastructure-Atlas
12876,Online SAS,aggregate,62,22,1,France,VPN-Infrastructure-Atlas
12975,PALTEL-AS PALTEL Autonomous System,aggregate,1,1,1,Palestine,VPN-Infrastructure-Atlas
1299,"TWELVE99 Arelion, fka Telia Carrier",aggregate,7,3,3,Denmark; Sweden; United Kingdom,VPN-Infrastructure-Atlas
131267,UNITEL-LA Star Telecom,aggregate,1,1,1,Laos,VPN-Infrastructure-Atlas
13213,UK2NET-AS,aggregate,29,13,5,France; Germany; Netherlands; United Kingdom; United States,VPN-Infrastructure-Atlas
132335,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,aggregate,3,3,1,India,VPN-Infrastructure-Atlas
132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,aggregate,28,5,9,Afghanistan; Brazil; Brunei; Egypt; Malaysia; Panama; Russia; Taiwan; Vietnam,VPN-Infrastructure-Atlas
132825,MYTEK-AS-AP MYTEK TRADING PTY LTD,aggregate,1,1,1,Australia,VPN-Infrastructure-Atlas
132839,POWERLINE-AS-AP POWER LINE DATACENTER,aggregate,1,1,1,Hong Kong,VPN-Infrastructure-Atlas
133159,MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd,aggregate,1,1,1,Australia,VPN-Infrastructure-Atlas
133210,ENTECHNOLOGIES-AS-AP EN Technologies Pte Ltd,aggregate,1,1,1,Singapore,VPN-Infrastructure-Atlas
