provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
NordVPN,212238,CDNEXT,1,United Kingdom,1k-4.9k,293,95.0,VPN-Infrastructure-Atlas
WLVPN,62651,NETPROTECT-62651,1,United States,1k-4.9k,74,95.0,VPN-Infrastructure-Atlas
IPVanish,62651,NETPROTECT-62651,1,United States,1k-4.9k,74,95.0,VPN-Infrastructure-Atlas
NordVPN,9009,M247,1,Romania,1k-4.9k,227,95.0,VPN-Infrastructure-Atlas
NordVPN,136787,PACKETHUBSA-AS-AP PacketHub S.A.,1,Panama,1k-4.9k,99,95.0,VPN-Infrastructure-Atlas
NordVPN,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,1k-4.9k,44,95.0,VPN-Infrastructure-Atlas
CyberGhost,212238,CDNEXT,1,United Kingdom,500-999,49,71.7,VPN-Infrastructure-Atlas
CyberGhost,9009,M247,1,Romania,500-999,60,72.8,VPN-Infrastructure-Atlas
NordVPN,147049,PACKETHUBSA-AS-AP PacketHub S.A.,1,Australia,500-999,30,95.0,VPN-Infrastructure-Atlas
NordVPN,25369,BANDWIDTH-AS,1,United Kingdom,500-999,46,95.0,VPN-Infrastructure-Atlas
WLVPN,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,500-999,19,95.0,VPN-Infrastructure-Atlas
IPVanish,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,500-999,19,95.0,VPN-Infrastructure-Atlas
Astrill,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,500-999,14,78.0,VPN-Infrastructure-Atlas
ProtonVPN,212238,CDNEXT,1,United Kingdom,500-999,150,95.0,VPN-Infrastructure-Atlas
NordVPN,60068,CDN77 _,1,United Kingdom,100-499,55,95.0,VPN-Infrastructure-Atlas
NordVPN,141039,PACKETHUBSA-AS-AP PacketHub S.A.,1,Panama,100-499,19,95.0,VPN-Infrastructure-Atlas
NordVPN,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,100-499,23,95.0,VPN-Infrastructure-Atlas
NordVPN,207137,PACKETHUBSA,1,Panama,100-499,22,95.0,VPN-Infrastructure-Atlas
AirVPN,9009,M247,1,Romania,100-499,44,95.0,VPN-Infrastructure-Atlas
Astrill,174,COGENT-174,1,United States,100-499,13,78.0,VPN-Infrastructure-Atlas
AirVPN,49453,GLOBALLAYER,1,Netherlands,100-499,7,95.0,VPN-Infrastructure-Atlas
Windscribe,212238,CDNEXT,1,United Kingdom,100-499,60,95.0,VPN-Infrastructure-Atlas
IPVanish,140952,"STL-AS-AP Strong Technology, LLC",1,United States,100-499,13,95.0,VPN-Infrastructure-Atlas
WLVPN,140952,"STL-AS-AP Strong Technology, LLC",1,United States,100-499,13,95.0,VPN-Infrastructure-Atlas
Astrill,62904,AS62904 - Eonix Corporation,1,United States,100-499,9,78.0,VPN-Infrastructure-Atlas
CyberGhost,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,100-499,16,71.9,VPN-Infrastructure-Atlas
Astrill,212238,CDNEXT,1,United Kingdom,100-499,1,80.0,VPN-Infrastructure-Atlas
ProtonVPN,9009,M247,1,Romania,100-499,127,95.0,VPN-Infrastructure-Atlas
Njalla,39287,ABSTRACT,1,Romania,100-499,16,80.0,VPN-Infrastructure-Atlas
Sentinel dVPN,36352,AS-COLOCROSSING,1,United States,100-499,176,95.0,VPN-Infrastructure-Atlas
StrongVPN,22781,STRTEC,1,United States,100-499,64,80.9,VPN-Infrastructure-Atlas
StrongVPN,62651,NETPROTECT-62651,1,United States,100-499,49,84.0,VPN-Infrastructure-Atlas
Windscribe,9009,M247,1,Romania,100-499,40,95.0,VPN-Infrastructure-Atlas
WLVPN,22781,STRTEC,1,United States,100-499,8,95.0,VPN-Infrastructure-Atlas
CyberGhost,174,COGENT-174,1,United States,100-499,19,71.3,VPN-Infrastructure-Atlas
IPVanish,22781,STRTEC,1,United States,100-499,7,95.0,VPN-Infrastructure-Atlas
CyberGhost,60068,CDN77 _,1,United Kingdom,100-499,19,72.1,VPN-Infrastructure-Atlas
TunnelBear,9009,M247,1,Romania,100-499,22,95.0,VPN-Infrastructure-Atlas
IPVanish,174,COGENT-174,1,United States,100-499,5,95.0,VPN-Infrastructure-Atlas
WLVPN,174,COGENT-174,1,United States,100-499,5,95.0,VPN-Infrastructure-Atlas
Private Internet Access,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,2,Australia; United States,100-499,57,95.0,VPN-Infrastructure-Atlas
Mullvad,11878,TZULO,1,United States,100-499,61,95.0,VPN-Infrastructure-Atlas
PureVPN,212238,CDNEXT,1,United Kingdom,100-499,54,88.0,VPN-Infrastructure-Atlas
Private Internet Access,212238,CDNEXT,10,Canada; Germany; Spain; United Kingdom; Italy; Japan; Netherlands; Sweden; United Kingdom; United States,100-499,50,95.0,VPN-Infrastructure-Atlas
CyberGhost,42708,GLESYS glesys.com,1,Sweden,100-499,8,72.0,VPN-Infrastructure-Atlas
WiTopia,9009,M247,1,Romania,100-499,23,95.0,VPN-Infrastructure-Atlas
Surfshark,209854,CYBERZONEHUB,58,Andorra; Albania; Armenia; Argentina; Australia; Azerbaijan; Bosnia and Herzegovina; Bangladesh; Brunei; Bolivia,100-499,65,95.0,VPN-Infrastructure-Atlas
Mullvad,212238,CDNEXT,1,United Kingdom,100-499,44,95.0,VPN-Infrastructure-Atlas
AirVPN,11878,TZULO,1,United States,100-499,17,95.0,VPN-Infrastructure-Atlas
AirVPN,32489,AMANAHA-NEW,1,Canada,100-499,6,95.0,VPN-Infrastructure-Atlas
ExpressVPN,206092,SECFIREWALLAS,1,Cyprus,100-499,29,70.0,VPN-Infrastructure-Atlas
NordVPN,396356,LATITUDE-SH,1,United States,100-499,7,95.0,VPN-Infrastructure-Atlas
TunnelBear,21859,ZEN-ECN,1,United States,100-499,25,95.0,VPN-Infrastructure-Atlas
Astrill,36352,AS-COLOCROSSING,1,United States,50-99,39,78.1,VPN-Infrastructure-Atlas
Astrill,16276,OVH,1,France,50-99,16,78.0,VPN-Infrastructure-Atlas
Mullvad,9009,M247,1,Romania,50-99,50,95.0,VPN-Infrastructure-Atlas
PureVPN,9009,M247,1,Romania,50-99,42,88.0,VPN-Infrastructure-Atlas
Privado,34343,BIP-AS BIP Backbone ASN,1,Netherlands,50-99,12,95.0,VPN-Infrastructure-Atlas
Mullvad,39351,ESAB-AS,1,Sweden,50-99,20,95.0,VPN-Infrastructure-Atlas
ExpressVPN,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,50-99,35,69.7,VPN-Infrastructure-Atlas
Astrill,20473,AS-VULTR,1,United States,50-99,3,78.0,VPN-Infrastructure-Atlas
Private Internet Access,9009,M247,3,Canada; Romania; United Kingdom,50-99,31,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",1,Germany,50-99,81,95.0,VPN-Infrastructure-Atlas
Windscribe,11878,TZULO,1,United States,50-99,14,95.0,VPN-Infrastructure-Atlas
IPVanish,46844,SHARKTECH,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
TunnelBear,14061,DIGITALOCEAN-ASN,1,United States,50-99,77,95.0,VPN-Infrastructure-Atlas
WLVPN,46844,SHARKTECH,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
NordVPN,262287,Latitude.sh LTDA,1,Brazil,50-99,8,95.0,VPN-Infrastructure-Atlas
OVPN,42675,OBEHOSTING Obehosting AB,1,Sweden,50-99,6,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,20473,AS-VULTR,1,United States,50-99,60,70.0,VPN-Infrastructure-Atlas
Astrill,36351,SOFTLAYER,1,United States,50-99,12,78.1,VPN-Infrastructure-Atlas
IPVanish,54203,NETPROTECT-SP,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
WLVPN,54203,NETPROTECT-SP,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
WorldVPN,24940,HETZNER-AS,2,Germany; Finland,50-99,49,88.0,VPN-Infrastructure-Atlas
IPVanish,36352,AS-COLOCROSSING,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
WLVPN,36352,AS-COLOCROSSING,1,United States,50-99,2,95.0,VPN-Infrastructure-Atlas
Astrill,6939,HURRICANE,1,United States,50-99,13,78.0,VPN-Infrastructure-Atlas
