provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
NordVPN,United Kingdom,1k-4.9k,468,9,1k-4.9k,95.0,VPN-Infrastructure-Atlas
WLVPN,United States,1k-4.9k,115,11,1k-4.9k,95.0,VPN-Infrastructure-Atlas
IPVanish,United States,1k-4.9k,114,11,1k-4.9k,95.0,VPN-Infrastructure-Atlas
NordVPN,Panama,1k-4.9k,140,3,1k-4.9k,95.0,VPN-Infrastructure-Atlas
Astrill,United States,1k-4.9k,256,63,1k-4.9k,78.1,VPN-Infrastructure-Atlas
NordVPN,Romania,1k-4.9k,227,1,1k-4.9k,95.0,VPN-Infrastructure-Atlas
CyberGhost,United Kingdom,1k-4.9k,73,4,1k-4.9k,71.8,VPN-Infrastructure-Atlas
NordVPN,Australia,1k-4.9k,61,3,1k-4.9k,95.0,VPN-Infrastructure-Atlas
Astrill,United Kingdom,500-999,31,8,500-999,78.6,VPN-Infrastructure-Atlas
CyberGhost,Romania,500-999,63,3,500-999,72.8,VPN-Infrastructure-Atlas
WLVPN,United Kingdom,500-999,29,6,500-999,95.0,VPN-Infrastructure-Atlas
IPVanish,United Kingdom,500-999,29,6,500-999,95.0,VPN-Infrastructure-Atlas
ProtonVPN,United Kingdom,500-999,172,5,500-999,95.0,VPN-Infrastructure-Atlas
StrongVPN,United States,100-499,129,10,100-499,82.5,VPN-Infrastructure-Atlas
Sentinel dVPN,United States,100-499,278,45,100-499,95.0,VPN-Infrastructure-Atlas
Windscribe,United Kingdom,100-499,80,6,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,Netherlands,100-499,15,3,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,Romania,100-499,44,1,100-499,95.0,VPN-Infrastructure-Atlas
CyberGhost,Australia,100-499,21,2,100-499,72.4,VPN-Infrastructure-Atlas
WiTopia,United States,100-499,45,21,100-499,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Romania,100-499,127,1,100-499,95.0,VPN-Infrastructure-Atlas
Njalla,Romania,100-499,16,1,100-499,80.0,VPN-Infrastructure-Atlas
TunnelBear,United States,100-499,116,7,100-499,95.0,VPN-Infrastructure-Atlas
Windscribe,United States,100-499,47,15,100-499,95.0,VPN-Infrastructure-Atlas
Windscribe,Romania,100-499,40,1,100-499,95.0,VPN-Infrastructure-Atlas
CyberGhost,United States,100-499,23,4,100-499,71.5,VPN-Infrastructure-Atlas
AirVPN,United States,100-499,20,3,100-499,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,United States,100-499,114,16,100-499,70.0,VPN-Infrastructure-Atlas
NordVPN,United States,100-499,22,6,100-499,95.0,VPN-Infrastructure-Atlas
Privado,Netherlands,100-499,22,3,100-499,95.0,VPN-Infrastructure-Atlas
Mullvad,United States,100-499,75,8,100-499,95.0,VPN-Infrastructure-Atlas
PureVPN,United Kingdom,100-499,64,5,100-499,88.0,VPN-Infrastructure-Atlas
Private Internet Access,United States,100-499,66,9,100-499,95.0,VPN-Infrastructure-Atlas
TunnelBear,Romania,100-499,22,1,100-499,95.0,VPN-Infrastructure-Atlas
Mullvad,United Kingdom,100-499,51,4,100-499,95.0,VPN-Infrastructure-Atlas
