provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
NordVPN,GB,United Kingdom,212238,CDNEXT,1k-4.9k,293,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,62651,NETPROTECT-62651,1k-4.9k,74,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
IPVanish,US,United States,62651,NETPROTECT-62651,1k-4.9k,74,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
NordVPN,RO,Romania,9009,M247,1k-4.9k,227,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
NordVPN,PA,Panama,136787,PACKETHUBSA-AS-AP PacketHub S.A.,1k-4.9k,99,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
NordVPN,GB,United Kingdom,62240,CLOUVIDER Clouvider - Global ASN,1k-4.9k,44,1k-4.9k,1k-4.9k,95.0,VPN-Infrastructure-Atlas
CyberGhost,GB,United Kingdom,212238,CDNEXT,500-999,49,500-999,500-999,71.7,VPN-Infrastructure-Atlas
CyberGhost,RO,Romania,9009,M247,500-999,60,500-999,500-999,72.8,VPN-Infrastructure-Atlas
NordVPN,AU,Australia,147049,PACKETHUBSA-AS-AP PacketHub S.A.,500-999,30,500-999,500-999,95.0,VPN-Infrastructure-Atlas
NordVPN,GB,United Kingdom,25369,BANDWIDTH-AS,500-999,46,500-999,500-999,95.0,VPN-Infrastructure-Atlas
WLVPN,GB,United Kingdom,62240,CLOUVIDER Clouvider - Global ASN,500-999,19,500-999,500-999,95.0,VPN-Infrastructure-Atlas
IPVanish,GB,United Kingdom,62240,CLOUVIDER Clouvider - Global ASN,500-999,19,500-999,500-999,95.0,VPN-Infrastructure-Atlas
Astrill,GB,United Kingdom,62240,CLOUVIDER Clouvider - Global ASN,500-999,14,500-999,500-999,78.0,VPN-Infrastructure-Atlas
ProtonVPN,GB,United Kingdom,212238,CDNEXT,500-999,150,500-999,500-999,95.0,VPN-Infrastructure-Atlas
NordVPN,GB,United Kingdom,60068,CDN77 _,100-499,55,100-499,100-499,95.0,VPN-Infrastructure-Atlas
NordVPN,PA,Panama,141039,PACKETHUBSA-AS-AP PacketHub S.A.,100-499,19,100-499,100-499,95.0,VPN-Infrastructure-Atlas
NordVPN,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,100-499,23,100-499,100-499,95.0,VPN-Infrastructure-Atlas
NordVPN,PA,Panama,207137,PACKETHUBSA,100-499,22,100-499,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,RO,Romania,9009,M247,100-499,44,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Astrill,US,United States,174,COGENT-174,100-499,13,100-499,100-499,78.0,VPN-Infrastructure-Atlas
AirVPN,NL,Netherlands,49453,GLOBALLAYER,100-499,7,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Windscribe,GB,United Kingdom,212238,CDNEXT,100-499,60,100-499,100-499,95.0,VPN-Infrastructure-Atlas
IPVanish,US,United States,140952,"STL-AS-AP Strong Technology, LLC",100-499,13,100-499,100-499,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,140952,"STL-AS-AP Strong Technology, LLC",100-499,13,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Astrill,US,United States,62904,AS62904 - Eonix Corporation,100-499,9,100-499,100-499,78.0,VPN-Infrastructure-Atlas
CyberGhost,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,100-499,16,100-499,100-499,71.9,VPN-Infrastructure-Atlas
Astrill,GB,United Kingdom,212238,CDNEXT,100-499,1,100-499,100-499,80.0,VPN-Infrastructure-Atlas
ProtonVPN,RO,Romania,9009,M247,100-499,127,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Njalla,RO,Romania,39287,ABSTRACT,100-499,16,100-499,100-499,80.0,VPN-Infrastructure-Atlas
Sentinel dVPN,US,United States,36352,AS-COLOCROSSING,100-499,176,100-499,100-499,95.0,VPN-Infrastructure-Atlas
StrongVPN,US,United States,22781,STRTEC,100-499,64,100-499,100-499,80.9,VPN-Infrastructure-Atlas
StrongVPN,US,United States,62651,NETPROTECT-62651,100-499,49,100-499,100-499,84.0,VPN-Infrastructure-Atlas
Windscribe,RO,Romania,9009,M247,100-499,40,100-499,100-499,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,22781,STRTEC,100-499,8,100-499,100-499,95.0,VPN-Infrastructure-Atlas
CyberGhost,US,United States,174,COGENT-174,100-499,19,100-499,100-499,71.3,VPN-Infrastructure-Atlas
IPVanish,US,United States,22781,STRTEC,100-499,7,100-499,100-499,95.0,VPN-Infrastructure-Atlas
CyberGhost,GB,United Kingdom,60068,CDN77 _,100-499,19,100-499,100-499,72.1,VPN-Infrastructure-Atlas
TunnelBear,RO,Romania,9009,M247,100-499,22,100-499,100-499,95.0,VPN-Infrastructure-Atlas
IPVanish,US,United States,174,COGENT-174,100-499,5,100-499,100-499,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,174,COGENT-174,100-499,5,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Mullvad,US,United States,11878,TZULO,100-499,61,100-499,100-499,95.0,VPN-Infrastructure-Atlas
PureVPN,GB,United Kingdom,212238,CDNEXT,100-499,54,100-499,100-499,88.0,VPN-Infrastructure-Atlas
CyberGhost,SE,Sweden,42708,GLESYS glesys.com,100-499,8,100-499,100-499,72.0,VPN-Infrastructure-Atlas
WiTopia,RO,Romania,9009,M247,100-499,23,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Mullvad,GB,United Kingdom,212238,CDNEXT,100-499,44,100-499,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,US,United States,11878,TZULO,100-499,17,100-499,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,CA,Canada,32489,AMANAHA-NEW,100-499,6,100-499,100-499,95.0,VPN-Infrastructure-Atlas
ExpressVPN,CY,Cyprus,206092,SECFIREWALLAS,100-499,29,100-499,100-499,70.0,VPN-Infrastructure-Atlas
NordVPN,US,United States,396356,LATITUDE-SH,100-499,7,100-499,100-499,95.0,VPN-Infrastructure-Atlas
TunnelBear,US,United States,21859,ZEN-ECN,100-499,25,100-499,100-499,95.0,VPN-Infrastructure-Atlas
Astrill,US,United States,36352,AS-COLOCROSSING,50-99,39,50-99,50-99,78.1,VPN-Infrastructure-Atlas
Astrill,FR,France,16276,OVH,50-99,16,50-99,50-99,78.0,VPN-Infrastructure-Atlas
