country,providers_observed,hosting_cluster_count,provider_examples,local_hosting_diversity,remote_hosting_dependency,mmdb_country_match_rate,virtual_location_pressure,confidence
Afghanistan,1,1,Ivacy,low,high,0.00,0.80,low
Albania,16,5,CyberGhost; Windscribe; WLVPN; IPVanish; NordVPN; Mullvad,low,high,0.99,0.55,low
Algeria,1,1,Surfshark,low,high,1.00,0.65,low
Andorra,1,1,Surfshark,low,high,1.00,0.65,low
Antarctica,1,1,Windscribe,low,high,0.67,0.70,low
Antigua & Barbuda,1,1,OysterVPN,low,high,0.00,0.80,low
Argentina,7,7,Windscribe; Astrill; FlowVPN; Sentinel dVPN; Surfshark; PrivateVPN,low,high,0.53,0.56,low
Armenia,3,2,Surfshark; Zoogvpn; FlowVPN,medium,high,1.00,0.47,low
Australia,33,19,NordVPN; CyberGhost; ExpressVPN; Private Internet Access; PureVPN; Windscribe,medium,high,0.24,0.59,high
Austria,16,9,Safervpn; FlowVPN; Vpnht; Le VPN; Astrill; KevinVPN,medium,high,0.49,0.57,low
Azerbaijan,2,2,Surfshark; FlowVPN,low,high,1.00,0.53,low
Bahamas,1,1,Surfshark,low,high,1.00,0.65,low
Bangladesh,2,2,Surfshark; Hotspotshield,low,high,1.00,0.53,low
Belgium,6,5,Surfshark; GhostPath; PrivateVPN; WorldVPN; SwitchVPN; Ivacy,medium,high,1.00,0.44,low
Belize,1,1,Surfshark,low,high,1.00,0.65,low
Bhutan,1,1,Surfshark,low,high,1.00,0.65,low
Bolivia,1,1,Surfshark,low,high,1.00,0.65,low
Bosnia and Herzegovina,4,2,Windscribe; Astrill; Surfshark; ProtonVPN,low,high,1.00,0.58,low
Brazil,22,9,NordVPN; ExpressVPN; Windscribe; BoxPN; EasyHideIP; FrootVPN,low,high,0.37,0.71,medium
Brunei,2,2,Surfshark; Ivacy,low,high,0.67,0.58,low
Bulgaria,10,11,Trust.Zone; Astrill; WorldVPN; Sentinel dVPN; Surfshark; VPN Unlimited,high,high,0.65,0.42,low
Cambodia,2,2,VPN Jantit; Surfshark,medium,high,0.50,0.55,low
Canada,51,32,AirVPN; Astrill; VPN Unlimited; Sentinel dVPN; WLVPN; IPVanish,medium,high,0.70,0.48,medium
Chile,8,7,TorGuard; Surfshark; Sentinel dVPN; FlowVPN; PrivateVPN; GhostPath,medium,high,1.00,0.43,low
China,4,4,VPN Jantit; Sentinel dVPN; Hotspotshield; WorldVPN,low,high,0.05,0.76,low
Colombia,1,1,Surfshark,low,high,1.00,0.65,low
Costa Rica,12,3,WLVPN; IPVanish; BoxPN; Anonine; FrootVPN; EasyHideIP,low,high,1.00,0.62,low
Croatia,4,4,Surfshark; ProtonVPN; FlowVPN; PrivateVPN,medium,high,1.00,0.44,low
Cyprus,10,8,ExpressVPN; Windscribe; Private Internet Access; Sentinel dVPN; PrivateVPN; Surfshark,low,high,0.15,0.72,medium
Czechia,10,10,SSHMax; FlowVPN; Sentinel dVPN; GhostPath; Surfshark; Astrill,medium,high,1.00,0.48,low
Denmark,11,8,Private Internet Access; Astrill; Surfshark; PrivateVPN; Sentinel dVPN; Ivacy,medium,high,0.91,0.44,low
Dominican Republic,1,1,WiTopia,low,high,1.00,0.65,low
Ecuador,1,1,Surfshark,low,high,1.00,0.65,low
Egypt,4,3,Sentinel dVPN; Surfshark; Ivacy; WiTopia,low,high,0.90,0.53,low
Estonia,23,11,Windscribe; CyberGhost; WLVPN; IPVanish; Sentinel dVPN; ProtonVPN,low,high,0.17,0.71,medium
European Union,4,3,PureVPN; OysterVPN; VPN Gate; ProtonVPN,low,high,0.00,0.70,low
FL,1,1,OysterVPN,low,high,0.00,0.80,low
Finland,24,9,WLVPN; IPVanish; Astrill; Mullvad; Private Internet Access; FrootVPN,low,high,0.99,0.58,low
France,44,20,Astrill; Psiphon; WiTopia; VPNSecure; VPN Unlimited; Sentinel dVPN,low,high,0.40,0.63,medium
Georgia,6,6,Sentinel dVPN; FlowVPN; Windscribe; Surfshark; ExpressVPN; Zoogvpn,medium,high,0.56,0.49,low
Germany,37,38,Sentinel dVPN; WorldVPN; Astrill; Psiphon; Vpnht; CyberGhost,medium,high,0.60,0.47,medium
Ghana,1,1,Surfshark,low,high,1.00,0.65,low
Greece,9,8,Astrill; Surfshark; GhostPath; VPN Unlimited; Ivacy; PrivateVPN,high,high,1.00,0.37,low
Greenland,1,1,Surfshark,low,high,1.00,0.65,low
Hong Kong,27,20,Sentinel dVPN; TunnelBear; Astrill; SwitchVPN; VPN Jantit; Zoogvpn,high,high,0.64,0.44,medium
Hungary,9,6,Astrill; FlowVPN; VPN Jantit; Surfshark; Ivacy; PrivateVPN,medium,high,0.96,0.42,low
Iceland,12,6,VPN.ac; WiTopia; Windscribe; ProtonVPN; IVPN; Surfshark,medium,high,0.71,0.49,low
India,22,15,NordVPN; Mullvad; Astrill; IPVanish; WLVPN; PrivateVPN,low,high,0.23,0.69,medium
Indonesia,12,12,Windscribe; VPN Jantit; Sentinel dVPN; FreeVPN; Surfshark; ProtonVPN,medium,high,1.00,0.45,low
Ireland,7,5,Astrill; Surfshark; Ivacy; WorldVPN; PrivateVPN; VPNUK,medium,high,1.00,0.44,low
Isle of Man,2,2,Surfshark; PrivateVPN,low,high,1.00,0.53,low
Israel,20,7,FrootVPN; EasyHideIP; Anonine; BoxPN; Astrill; Windscribe,low,high,0.97,0.55,low
Italy,25,18,Sentinel dVPN; Private Internet Access; EasyHideIP; Anonine; BoxPN; FrootVPN,medium,high,0.80,0.43,medium
Jamaica,1,1,Sentinel dVPN,low,high,1.00,0.65,low
Japan,15,22,VPN Gate; Astrill; WLVPN; IPVanish; Private Internet Access; ProtonVPN,high,high,1.00,0.38,low
Jordan,1,1,Sentinel dVPN,low,high,1.00,0.65,low
Kazakhstan,7,6,Kompot VPN; Sentinel dVPN; Surfshark; VPN Jantit; Zoogvpn; FlowVPN,medium,high,1.00,0.42,low
Kenya,1,1,CyberGhost,low,high,1.00,0.65,low
Kyrgyzstan,1,1,Sentinel dVPN,low,high,0.50,0.72,low
Laos,2,2,Surfshark; VPN Gate,low,high,1.00,0.53,low
Latvia,13,11,AirVPN; Windscribe; WorldVPN; WiTopia; CactusVPN; AnonymousVPN,low,high,0.91,0.61,low
Liechtenstein,2,2,Surfshark; WorldVPN,low,high,1.00,0.53,low
Lithuania,20,8,CyberGhost; Astrill; PureVPN; Windscribe; WiTopia; Psiphon,medium,high,0.61,0.54,medium
Luxembourg,21,7,BoxPN; FrootVPN; EasyHideIP; Anonine; PureVPN; Le VPN,low,high,0.79,0.55,low
Macao,1,1,Surfshark,low,high,1.00,0.65,low
Malaysia,21,12,PureVPN; IPVanish; WLVPN; Astrill; AirVPN; FrootVPN,low,high,0.58,0.57,medium
Malta,2,2,Surfshark; PrivateVPN,low,high,1.00,0.53,low
Marshall Islands,1,1,Hotspotshield,low,high,0.00,0.80,low
Mauritius,2,0,Anonvpn; Proxpn,low,high,1.00,0.65,low
Mexico,3,4,Surfshark; PrivateVPN; FlowVPN,high,high,1.00,0.39,low
Moldova,21,8,CyberGhost; IPVanish; WLVPN; Sentinel dVPN; Windscribe; Astrill,low,high,0.99,0.59,low
Monaco,1,1,Surfshark,low,high,1.00,0.65,low
Mongolia,1,1,Surfshark,low,high,1.00,0.65,low
Montenegro,1,1,Surfshark,low,high,1.00,0.65,low
Morocco,1,1,Surfshark,low,high,1.00,0.65,low
