asn_cluster,asn,operator,provider_count,observed_records_bucket,provider_examples,source_repo
ASNCluster-001,212238,CDNEXT,22,5k-9.9k,Astrill; CactusVPN; CyberGhost; ExpressVPN; Hide.me; Hotspotshield; IPVanish; IVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-002,9009,M247,45,1k-4.9k,AirVPN; Anonine; BoxPN; CactusVPN; Cryptostorm; CyberGhost; EasyHideIP; ExpressVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-003,62651,NETPROTECT-62651,3,1k-4.9k,IPVanish; StrongVPN; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-004,62240,CLOUVIDER Clouvider - Global ASN,12,1k-4.9k,Astrill; ExpressVPN; GhostPath; Hide.me; IPVanish; KevinVPN; NordVPN; Private Internet Access,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-005,60068,CDN77 _,18,1k-4.9k,AzireVPN; CyberGhost; ExpressVPN; Getflix; Hide.me; Hotspotshield; IVPN; Mullvad,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-006,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,10,1k-4.9k,CyberGhost; ExpressVPN; IPVanish; Ivacy; NordVPN; Private Internet Access; ProtonVPN; PureVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-007,25369,BANDWIDTH-AS,8,500-999,FlowVPN; IPVanish; NordVPN; PrivateVPN; ProtonVPN; PureVPN; Surfshark; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-008,49453,GLOBALLAYER,3,500-999,AirVPN; NordVPN; Surfshark,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-009,11878,TZULO,6,500-999,AirVPN; AzireVPN; CCrypto VPN; IVPN; Mullvad; Windscribe,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-010,140952,"STL-AS-AP Strong Technology, LLC",3,500-999,IPVanish; StrongVPN; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-011,174,COGENT-174,9,100-499,Astrill; CyberGhost; GhostPath; IPVanish; VPN Unlimited; Private Internet Access; SlickVPN; StrongVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-012,22781,STRTEC,3,100-499,IPVanish; StrongVPN; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-013,21859,ZEN-ECN,9,100-499,ExpressVPN; Hide.me; IPVanish; Mullvad; Private Internet Access; PrivateVPN; TunnelBear; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-014,39287,ABSTRACT,1,100-499,Njalla,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-015,32489,AMANAHA-NEW,13,100-499,AirVPN; Anonvpn; BTGuard; Getflix; IVPN; VPN Unlimited; OVPN; ProtonVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-016,396356,LATITUDE-SH,15,100-499,CactusVPN; ExpressVPN; Hotspotshield; IPVanish; Ivacy; NordVPN; Private Internet Access; ProtonVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-017,203020,HOSTROYALE,14,100-499,Cryptostorm; IPVanish; IVPN; Ivacy; Mullvad; NordVPN; Privado; ProtonVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-018,14061,DIGITALOCEAN-ASN,15,100-499,Getflix; GhostPath; Goosevpn; VPN Unlimited; OysterVPN; PhantomPeer; PrivateVPN; Safervpn,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-019,42708,GLESYS glesys.com,16,100-499,Anonine; CactusVPN; CyberGhost; EasyHideIP; ExpressVPN; FlowVPN; Froot; Getflix,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-020,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",12,100-499,AnonymousVPN; CactusVPN; FastestVPN; FlowVPN; VPN Unlimited; OysterVPN; Safervpn; TorGuard,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-021,46844,SHARKTECH,4,100-499,Astrill; IPVanish; StrongVPN; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-022,136557,HOST-AS-AP Host Universal Pty Ltd,10,100-499,Anonine; AzireVPN; BoxPN; EasyHideIP; Ivacy; Mullvad; NordVPN; PrivateVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-023,36352,AS-COLOCROSSING,15,100-499,Astrill; GhostPath; IPVanish; IVPN; Ivacy; PrivateVPN; PureVPN; SlickVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-024,16276,OVH,22,100-499,Anonine; BoxPN; CCrypto VPN; CactusVPN; EasyHideIP; FlowVPN; Freevpn; Froot,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-025,20473,AS-VULTR,15,100-499,BTGuard; FlowVPN; Getflix; IVPN; VPN Unlimited; Proxpn; Safervpn; SlickVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-026,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",17,100-499,Anonine; Anonvpn; BoxPN; EasyHideIP; ExpressVPN; FlowVPN; GhostPath; IPVanish,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-027,13213,UK2NET-AS,14,100-499,ExpressVPN; Getflix; GhostPath; Hide.me; HideIPVPN; IPVanish; IVPN; Mullvad,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-028,206804,ESTNOC-GLOBAL,11,100-499,AirVPN; CyberGhost; ExpressVPN; IPVanish; IVPN; Private Internet Access; ProtonVPN; StrongVPN,ipanalytics/ASN-VPN-Network-Intelligence
ASNCluster-029,54203,NETPROTECT-SP,2,100-499,IPVanish; WLVPN,ipanalytics/ASN-VPN-Network-Intelligence
