operator_cluster,operator,provider_count,asn_count,country_count,observed_records_bucket,top_provider_examples,source_repo
OperatorCluster-001,CDNEXT,0,1,37,5k-9.9k,NordVPN (2708); CyberGhost (878); ProtonVPN (569); Windscribe (284); Astrill (256); Mullvad (143); PureVPN (127); Private Internet Access (126); Surfshark (53); ExpressVPN (38),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-002,M247,0,1,22,1k-4.9k,NordVPN (1167); CyberGhost (782); AirVPN (600); ProtonVPN (408); TorGuard (363); Windscribe (195); Mullvad (180); TunnelBear (137); WiTopia (125); PureVPN (93),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-003,NETPROTECT-62651,0,1,1,1k-4.9k,WLVPN (1496); IPVanish (1495); StrongVPN (199),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-004,CLOUVIDER Clouvider - Global ASN,0,1,3,1k-4.9k,NordVPN (1079); WLVPN (581); IPVanish (580); Astrill (539); ExpressVPN (22); StrongVPN (16); Windscribe (9); KevinVPN (8); Private Internet Access (5); Surfshark (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-005,PACKETHUBSA-AS-AP PacketHub S.A.,0,3,2,1k-4.9k,NordVPN (2186),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-006,CDN77 _,0,1,14,1k-4.9k,NordVPN (425); ProtonVPN (377); CyberGhost (153); Mullvad (101); IVPN (40); Windscribe (31); AzireVPN (19); Surfshark (18); PrivateVPN (16); Astrill (15),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-007,GSLNETWORKS-AS-AP GSL Networks Pty LTD,0,1,6,1k-4.9k,NordVPN (368); CyberGhost (268); Private Internet Access (132); ExpressVPN (87); PureVPN (49); IPVanish (38); WLVPN (38); Windscribe (27); Ivacy (9); ProtonVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-008,COGENT-174,0,1,4,500-999,Astrill (289); CyberGhost (168); IPVanish (134); WLVPN (134); Private Internet Access (37); Psiphon (10); StrongVPN (7); GhostPath (1); Sentinel dVPN (1); VPN Unlimited (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-009,BANDWIDTH-AS,0,1,5,500-999,NordVPN (590); IPVanish (26); WLVPN (26); Astrill (7); Surfshark (7); PureVPN (5); WiTopia (5); ProtonVPN (3); FlowVPN (1); PrivateVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-010,GLOBALLAYER,0,1,2,500-999,AirVPN (576); NordVPN (47); Surfshark (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-011,TZULO,0,1,1,500-999,Mullvad (254); AirVPN (224); Windscribe (84); IVPN (11); Sentinel dVPN (6); AzireVPN (5); CCrypto VPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-012,"STL-AS-AP Strong Technology, LLC",0,1,1,500-999,IPVanish (276); WLVPN (276); StrongVPN (12),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-013,STRTEC,0,1,1,500-999,StrongVPN (226); WLVPN (176); IPVanish (161),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-014,AS-COLOCROSSING,0,1,1,500-999,Sentinel dVPN (242); Astrill (96); IPVanish (59); WLVPN (59); Windscribe (12); VPN.ac (9); TunnelBear (6); PureVPN (5); GhostPath (4); IVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-015,OVH,0,1,5,100-499,Astrill (95); Psiphon (56); WiTopia (40); VPNSecure (29); VPN Jantit (16); Sentinel dVPN (15); NetShade (13); HideIPVPN (11); Anonine (8); BoxPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-016,PACKETHUBSA,0,1,1,100-499,NordVPN (343),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-017,DIGITALOCEAN-ASN,0,1,3,100-499,Psiphon (100); TunnelBear (81); VPN Unlimited (49); PhantomPeer (14); TorGuard (12); PrivateVPN (10); uVPN (10); Goosevpn (7); Safervpn (5); VPN Jantit (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-018,AS62904 - Eonix Corporation,0,1,1,100-499,Astrill (275); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); Froot (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-019,AMANAHA-NEW,0,1,1,100-499,AirVPN (208); WiTopia (15); VPN Unlimited (8); Sentinel dVPN (5); Astrill (3); IVPN (3); Proxpn (2); Trust.Zone (2); VPN.ac (2); Anonvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-020,ABSTRACT,0,1,1,100-499,Njalla (241),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-021,ZEN-ECN,0,1,4,100-499,TunnelBear (101); IPVanish (45); WLVPN (45); Mullvad (24); Windscribe (9); PrivateVPN (4); StrongVPN (3); Astrill (2); ExpressVPN (2); Private Internet Access (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-022,HOSTROYALE,0,2,11,100-499,Mullvad (76); NordVPN (68); Surfshark (24); Astrill (15); IPVanish (11); WLVPN (11); Privado (9); StrongVPN (8); PureVPN (4); Cryptostorm (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-023,AS-VULTR,0,1,1,100-499,Astrill (84); VPN Unlimited (67); SwitchVPN (29); VPN Jantit (11); FlowVPN (7); Safervpn (7); Proxpn (3); Smartdnsproxy (3); VPNUK (3); Getflix (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-024,LATITUDE-SH,0,1,4,100-499,NordVPN (103); ExpressVPN (21); Astrill (16); IPVanish (13); WLVPN (13); PureVPN (9); Private Internet Access (8); TunnelBear (7); Windscribe (7); ProtonVPN (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-025,SHARKTECH,0,1,1,100-499,IPVanish (81); WLVPN (81); Astrill (37); StrongVPN (3); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-026,GLESYS glesys.com,0,1,3,100-499,CyberGhost (125); Private Internet Access (21); Anonine (13); Froot (10); FrootVPN (10); ExpressVPN (8); GhostPath (3); CactusVPN (2); IVPN (2); PhantomPeer (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-027,AKAMAI-LINODE-AP Akamai Connected Cloud,0,1,8,100-499,Psiphon (121); TunnelBear (44); GhostPath (23); SlickVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-028,"ONEPROVIDER-AS BrainStorm Network, Inc",0,1,27,100-499,OysterVPN (37); FlowVPN (29); VPN Unlimited (28); Sentinel dVPN (21); VPNUK (15); FastestVPN (13); Zoogvpn (12); VPNSecure (10); AnonymousVPN (7); Safervpn (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-029,ESAB-AS,0,1,1,100-499,Mullvad (173),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-030,HOST-AS-AP Host Universal Pty Ltd,0,1,2,100-499,NordVPN (51); Mullvad (40); ProtonVPN (31); Anonine (16); BoxPN (16); EasyHideIP (16); FrootVPN (16); Surfshark (9); PureVPN (4); Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-031,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",0,1,1,100-499,IPVanish (35); WLVPN (35); NordVPN (24); EasyHideIP (20); Anonine (9); BoxPN (8); FrootVPN (8); Sentinel dVPN (7); StrongVPN (7); Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-032,ALTUS,0,1,2,100-499,CyberGhost (46); AirVPN (24); Psiphon (23); NordVPN (10); Windscribe (6); IPVanish (5); VPN.ac (5); WLVPN (5); PureVPN (4); Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-033,ESTNOC-GLOBAL,0,1,1,100-499,Windscribe (30); CyberGhost (26); WLVPN (18); IPVanish (17); ProtonVPN (13); AirVPN (8); ExpressVPN (8); Private Internet Access (6); StrongVPN (4); TorGuard (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-034,NETPROTECT-SP,0,1,1,100-499,IPVanish (63); WLVPN (63),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-035,Latitude.sh LTDA,0,1,1,100-499,NordVPN (70); ExpressVPN (29); Windscribe (7); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); WiTopia (5); Astrill (3); Cryptostorm (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-036,Unknown,0,0,20,100-499,WiTopia (44); Vpnht (26); Astrill (10); CyberGhost (9); FlowVPN (7); GhostPath (7); Hotspotshield (7); Anonvpn (4); Proxpn (3); IVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-037,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",0,1,1,100-499,Sentinel dVPN (84); Psiphon (30); Astrill (4); VPN Jantit (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-038,CYBERZONEHUB,0,1,58,100-499,Surfshark (119),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-039,UK2NET-AS,0,1,5,100-499,ExpressVPN (27); IPVanish (20); WLVPN (20); Mullvad (17); Astrill (9); GhostPath (8); Windscribe (7); TunnelBear (5); SlickVPN (2); TorGuard (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-040,VOXILITY,0,1,2,100-499,IPVanish (47); WLVPN (47); Vpnht (13); PureVPN (5); Psiphon (4); StrongVPN (2); Ivacy (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-041,SECFIREWALLAS,0,1,2,100-499,ExpressVPN (104); Private Internet Access (14),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-042,Online SAS,0,1,1,100-499,VPN Unlimited (19); Psiphon (16); Vpnht (15); Riseup VPN (13); VPN.ac (10); WiTopia (10); EasyHideIP (5); FrootVPN (5); NordVPN (5); Anonine (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-043,SERVER-MANIA,0,1,1,100-499,IPVanish (35); WLVPN (35); Astrill (33); StrongVPN (8); TorGuard (1); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-044,AS-INCX,0,1,1,100-499,IPVanish (40); WLVPN (40); Windscribe (18); StrongVPN (6); Astrill (3); Surfshark (3); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-045,NFORCE,0,1,1,100-499,IPVanish (39); WLVPN (39); ProtonVPN (10); BTGuard (7); VPN.ac (7); Astrill (3); Cryptostorm (2); Smartdnsproxy (2); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-046,PHMGMT-AS1,0,1,1,100-499,Giganews (54); VyprVPN (54),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-047,THE,0,1,13,100-499,VPN Unlimited (43); WorldVPN (14); AnonymousVPN (13); FlowVPN (9); VPNUK (8); Kompot VPN (5); VPN Jantit (5); Zoogvpn (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-048,AS-GLOBALTELEHOST,0,2,3,50-99,Astrill (35); Anonine (32); BoxPN (32); EasyHideIP (32); FrootVPN (32); Windscribe (6); VPN Jantit (5); TorGuard (3); Zoogvpn (3); HideIPVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-049,BIP-AS BIP Backbone ASN,0,1,1,50-99,Privado (89),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-050,QUINTEX,0,1,1,50-99,AirVPN (88),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-051,HETZNER-AS,0,1,2,50-99,WorldVPN (62); Sentinel dVPN (16); Astrill (3); CactusVPN (2); HideIPVPN (2); uVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-052,AS40676 - Psychz Networks,0,1,1,50-99,Astrill (36); VPN.ac (8); Windscribe (6); WiTopia (5); Zoogvpn (5); ExpressVPN (4); VPN Unlimited (4); Sentinel dVPN (3); VPN Jantit (3); FastestVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-053,OBEHOSTING Obehosting AB,0,1,1,50-99,OVPN (68); AzireVPN (7); PrivateVPN (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-054,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,0,1,9,50-99,PureVPN (47); IPVanish (11); WLVPN (11); Ivacy (8); StrongVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-055,DEDICATED,0,1,1,50-99,AirVPN (40); WiTopia (20); Astrill (9); VPN Unlimited (5); FastestVPN (2); AzireVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-056,NETPROTECT-PHX,0,1,1,50-99,IPVanish (34); WLVPN (34); StrongVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-057,NETROUTING-AS,0,1,1,50-99,AirVPN (64); AzireVPN (4); VPN Unlimited (3); Kompot VPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-058,TEKNIKBYRAN,0,1,1,50-99,AirVPN (72),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-059,AS41564,0,1,1,50-99,CyberGhost (34); Windscribe (13); NordVPN (10); ExpressVPN (6); Private Internet Access (5); ProtonVPN (2); Psiphon (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-060,HOSTHATCH,0,1,7,50-99,WorldVPN (38); Sentinel dVPN (16); AzireVPN (6); FlowVPN (4); KevinVPN (2); AnonymousVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-061,TRABIA,0,1,1,50-99,CyberGhost (19); IPVanish (10); WLVPN (10); Windscribe (6); Astrill (4); PureVPN (4); NordVPN (3); TorGuard (3); ExpressVPN (2); Private Internet Access (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-062,NEXEON,0,1,1,50-99,NordVPN (39); Sentinel dVPN (14); TorGuard (7); Astrill (4); Surfshark (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-063,SOFTLAYER,0,1,1,50-99,Astrill (63); FlowVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-064,WORLDSTREAM,0,1,1,50-99,ProtonVPN (50); Astrill (7); Trust.Zone (2); Freevpn (1),ipanalytics/vpn-provider-overlap-intelligence
