provider,operator,provider_share,asn_count,observed_records_bucket,source_repo
Windscribe,CDNEXT,0.28,1,100-499,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,M247,0.19,1,100-499,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,TZULO,0.08,1,50-99,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,CDN77 _,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,ESTNOC-GLOBAL,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,GSLNETWORKS-AS-AP GSL Networks Pty LTD,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,SONDATECH S.A.S.,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS-INCX,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,FREE RANGE CLOUD,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS41564,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS-COLOCROSSING,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,H4Y-TECHNOLOGIES,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AFRIHOST-SP,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AXCELX-NET,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,CLOUVIDER Clouvider - Global ASN,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,PLI-AS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,VDI-NETWORK,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,WINDSCRIBE,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,ZEN-ECN,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,LATITUDE-SH,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,Latitude.sh LTDA,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,UK2NET-AS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,ACEHOST,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,ALTUS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS-GLOBALTELEHOST,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS-NETWORKEDGE,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,AS40676 - Psychz Networks,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,CYTA-NETWORK Internet Services,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,DATALOGISTICS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,HINET Data Communication Business Group,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,HQSERV_NETWORKS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,MADCOM-ASN,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,PACKETEXCHANGE,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,PERFORMIVE,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,RIXHOST,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,"SIAMDATA-TH Siamdata Communication Co.,Ltd.",0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,SKYNET-CY-AS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,TRABIA,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,UNMETERED,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,VNPT-AS-VN VNPT Corp,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,GLOBALHOST-BOSNIA-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,ARTNET,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,DE-CORP DE-CORP,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,FLOKINET,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,LACHANSO-VN Digital Shield Technology Company Limited,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,LGDACOM LG DACOM Corporation,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,"NNECL-AS-AP NZ Network Enterprise Co., Ltd.",0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,PROSERVICE,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,QNAX LTDA,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,RYAMER,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,SKB-AS SK Broadband Co Ltd,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,SOVAM-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,TELEKS-,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
Windscribe,VPLSNET,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,"ONEPROVIDER-AS BrainStorm Network, Inc",0.12,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,SCLOUDPTELTD-AS Scloud Pte Ltd,0.04,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,THE,0.04,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,VNPT-AS-VN VNPT Corp,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,AS-VULTR,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,NEWPUSH,0.03,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,Unknown,0.03,0,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,OVH,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,IFOG-GMBH,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,IOMART-AS,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,M247,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,AMAZON-02,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,BAGE,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,BYTEVIRTLLC,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CIVO-UK,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,EDGECENTERLLC,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,HOSTHATCH,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,SECURITYNET-AS,0.02,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ASNET,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,COMFACCORPORATION-AS-AP COMFAC CORPORATION,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,Dattatec.com,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,KAOPU-HK Kaopu Cloud HK Limited,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,SKB-AS SK Broadband Co Ltd,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,THE-HOSTING,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,WORLDBUS,0.01,2,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,"ALWYZON Alwyzon, a trading name of Hohl IT e.U.",0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CLOUDWEBMANAGE-UK-1,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,EDIS-AS-EU,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,EHOSTIDC-AS-KR Hostcenter,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,FREE RANGE CLOUD,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,GCORE,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,GCS-AS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,GLBBULUTTEKNOLOJISI-AS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,HINET Data Communication Business Group,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,KARABRO Karabro AB,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,KIXS-AS-KR Korea Telecom,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,MELBICOM-EU-AS Melbikomas UAB,0.01,2,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,PONYNET,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,SINAVPS SinaVPS,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,SSASN2,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,VECTANT ARTERIA Networks Corporation,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,WISDOM-CLOUD,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,XANDMAIL-ASN,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,xneelo,0.01,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ACTIVENETWORK-AS Active Network S.p.A.,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,AHCLOUD,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ALMOUROLTEC,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ARUBA-ASN,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ARUBAFR-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,ASDETUK www.heficed.com,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,AVAHOHST,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,BALTNETA Customers AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,BANDWIDTH-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,BINARYRACKS-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CHOCIZ-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CL8ASN1,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CLOUDSIGMA-AS,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CLOUDWEBMANAGE-,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CORE-BACKBONE CORE-BACKBONE GMBH GLOBAL NETWORK,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
FlowVPN,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,0.00,1,lt-50,ipanalytics/vpn-provider-overlap-intelligence
