hosting_cluster,provider_count,country_count,provider_examples,country_examples,observed_records_bucket,dependency_score,dependency_class
HostingCluster-001,50,22,NordVPN; CyberGhost; AirVPN; ProtonVPN; TorGuard; Windscribe,Romania; United States; United Kingdom; Serbia; Belgium,1k-4.9k,0.90,core-vpn-hosting
HostingCluster-002,28,5,Astrill; Psiphon; WiTopia; VPNSecure; VPN Jantit; Sentinel dVPN,France; Canada; Poland; Australia; Singapore,100-499,0.72,important-vpn-hosting
HostingCluster-003,24,1,VPN Unlimited; Psiphon; Vpnht; Riseup VPN; VPN.ac; WiTopia,France,100-499,0.62,important-vpn-hosting
HostingCluster-004,21,37,NordVPN; CyberGhost; ProtonVPN; Windscribe; Astrill; Mullvad,United Kingdom; United States; Canada; United Kingdom; Japan,5k-9.9k,0.79,important-vpn-hosting
HostingCluster-005,21,14,NordVPN; ProtonVPN; CyberGhost; Mullvad; IVPN; Windscribe,United Kingdom; United States; Japan; Poland; Singapore,1k-4.9k,0.73,important-vpn-hosting
HostingCluster-006,19,3,Psiphon; TunnelBear; VPN Unlimited; PhantomPeer; TorGuard; uVPN,United States; India; Netherlands,100-499,0.62,important-vpn-hosting
HostingCluster-007,19,1,IPVanish; WLVPN; NordVPN; EasyHideIP; Anonine; FrootVPN,United Kingdom,100-499,0.58,important-vpn-hosting
HostingCluster-008,18,3,CyberGhost; Private Internet Access; Anonine; Froot; FrootVPN; ExpressVPN,Sweden; Denmark; Finland,100-499,0.61,important-vpn-hosting
HostingCluster-009,18,2,Kompot VPN; Windscribe; SwitchVPN; Anonine; FrootVPN; BoxPN,Panama; Switzerland,50-99,0.60,important-vpn-hosting
HostingCluster-010,17,4,NordVPN; ExpressVPN; Astrill; IPVanish; WLVPN; PureVPN,United States; Mexico; Chile; Brazil,100-499,0.62,important-vpn-hosting
HostingCluster-011,16,1,Sentinel dVPN; Astrill; IPVanish; WLVPN; Windscribe; VPN.ac,United States,500-999,0.55,niche-vpn-hosting
HostingCluster-012,16,2,CyberGhost; AirVPN; Psiphon; NordVPN; Windscribe; VPN.ac,Netherlands; Bulgaria,100-499,0.58,important-vpn-hosting
HostingCluster-013,16,1,WLVPN; IPVanish; Mullvad; FrootVPN; EasyHideIP; Anonine,Finland,50-99,0.55,niche-vpn-hosting
HostingCluster-014,15,1,AirVPN; WiTopia; VPN Unlimited; Sentinel dVPN; IVPN; Astrill,Canada,100-499,0.54,niche-vpn-hosting
HostingCluster-015,15,1,Astrill; VPN Unlimited; SwitchVPN; VPN Jantit; FlowVPN; Safervpn,United States,100-499,0.54,niche-vpn-hosting
HostingCluster-016,15,3,Astrill; Anonine; FrootVPN; BoxPN; EasyHideIP; Windscribe,United States; Canada; United Kingdom,100-499,0.58,important-vpn-hosting
HostingCluster-017,14,11,Mullvad; NordVPN; Surfshark; Astrill; IPVanish; WLVPN,India; Spain; Portugal; France; United States,100-499,0.64,important-vpn-hosting
HostingCluster-018,14,2,NordVPN; Mullvad; ProtonVPN; Anonine; EasyHideIP; FrootVPN,Australia; New Zealand,100-499,0.55,important-vpn-hosting
HostingCluster-019,14,5,ExpressVPN; WLVPN; IPVanish; Mullvad; Astrill; GhostPath,United Kingdom; United States; France; Germany; Netherlands,100-499,0.60,important-vpn-hosting
HostingCluster-020,14,1,Astrill; VPN.ac; Windscribe; Zoogvpn; WiTopia; VPN Unlimited,United States,50-99,0.53,niche-vpn-hosting
HostingCluster-021,14,1,EasyHideIP; BoxPN; Anonine; FrootVPN; VPN.ac; IVPN,Netherlands,50-99,0.53,niche-vpn-hosting
HostingCluster-022,14,1,CyberGhost; IPVanish; WLVPN; Windscribe; Astrill; PureVPN,Moldova,50-99,0.53,niche-vpn-hosting
HostingCluster-023,14,2,VPNUK; HideIPVPN; WiTopia; FlowVPN; Anonine; BoxPN,United Kingdom; United Kingdom,50-99,0.55,important-vpn-hosting
HostingCluster-024,13,27,OysterVPN; FlowVPN; VPN Unlimited; Sentinel dVPN; VPNUK; FastestVPN,Canada; United States; India; Portugal; European Union,100-499,0.69,important-vpn-hosting
HostingCluster-025,13,1,NordVPN; ExpressVPN; Windscribe; BoxPN; EasyHideIP; FrootVPN,Brazil,100-499,0.51,niche-vpn-hosting
HostingCluster-026,12,1,Windscribe; CyberGhost; WLVPN; IPVanish; ProtonVPN; ExpressVPN,Estonia,100-499,0.50,niche-vpn-hosting
HostingCluster-027,11,6,NordVPN; CyberGhost; Private Internet Access; ExpressVPN; PureVPN; IPVanish,Australia; United States; Singapore; Philippines; Oman,1k-4.9k,0.57,important-vpn-hosting
HostingCluster-028,11,4,TunnelBear; IPVanish; WLVPN; Mullvad; Windscribe; PrivateVPN,United States; Malaysia; Philippines; Indonesia,100-499,0.55,niche-vpn-hosting
HostingCluster-029,11,1,CyberGhost; WLVPN; IPVanish; Mullvad; PureVPN; ExpressVPN,Albania,50-99,0.49,niche-vpn-hosting
HostingCluster-030,11,1,WiTopia; BoxPN; FrootVPN; Anonine; EasyHideIP; VPN Unlimited,Canada,50-99,0.49,niche-vpn-hosting
HostingCluster-031,11,1,Astrill; BoxPN; Anonine; EasyHideIP; FrootVPN; WiTopia,South Korea,lt-50,0.49,niche-vpn-hosting
HostingCluster-032,11,1,TunnelBear; Astrill; VPN.ac; IVPN; VPNSecure; Proxpn,Hong Kong,lt-50,0.49,niche-vpn-hosting
HostingCluster-033,10,3,NordVPN; WLVPN; IPVanish; Astrill; ExpressVPN; StrongVPN,United Kingdom; United States; United Kingdom,1k-4.9k,0.52,niche-vpn-hosting
HostingCluster-034,10,4,Astrill; CyberGhost; IPVanish; WLVPN; Private Internet Access; Psiphon,United States; Canada; Germany; Czechia,500-999,0.53,niche-vpn-hosting
HostingCluster-035,10,5,NordVPN; WLVPN; IPVanish; Surfshark; Astrill; WiTopia,United Kingdom; United Kingdom; France; Netherlands; Switzerland,500-999,0.54,niche-vpn-hosting
HostingCluster-036,10,1,Windscribe; VPN.ac; WiTopia; AirVPN; TorGuard; PrivateVPN,Australia,50-99,0.47,niche-vpn-hosting
HostingCluster-037,10,1,Anonine; BoxPN; EasyHideIP; FrootVPN; VPN Unlimited; Zoogvpn,Germany,50-99,0.47,niche-vpn-hosting
HostingCluster-038,9,1,IPVanish; WLVPN; ProtonVPN; VPN.ac; BTGuard; Astrill,Netherlands,100-499,0.45,niche-vpn-hosting
HostingCluster-039,9,1,FrootVPN; EasyHideIP; Anonine; BoxPN; Windscribe; IVPN,Israel,50-99,0.45,niche-vpn-hosting
HostingCluster-040,9,1,TunnelBear; PureVPN; Astrill; Sentinel dVPN; ExpressVPN; VPN Unlimited,United States,50-99,0.45,niche-vpn-hosting
HostingCluster-041,9,1,WLVPN; IPVanish; BoxPN; Anonine; FrootVPN; EasyHideIP,Costa Rica,lt-50,0.45,niche-vpn-hosting
