provider,country,observed_records_bucket,provider_country_share
AirVPN,Netherlands,500-999,0.33
AirVPN,Romania,500-999,0.30
AirVPN,United States,100-499,0.17
AirVPN,Canada,100-499,0.13
AirVPN,Sweden,50-99,0.04
AirVPN,Latvia,lt-50,0.02
AirVPN,New Zealand,lt-50,0.01
AirVPN,Malaysia,lt-50,0.00
AirVPN,Australia,lt-50,0.00
AirVPN,Estonia,lt-50,0.00
Anonine,Romania,50-99,0.17
Anonine,United States,lt-50,0.15
Anonine,United Kingdom,lt-50,0.07
Anonine,Canada,lt-50,0.07
Anonine,Australia,lt-50,0.05
Anonine,Luxembourg,lt-50,0.05
Anonine,Sweden,lt-50,0.04
Anonine,France,lt-50,0.04
Anonine,Germany,lt-50,0.04
Anonine,Israel,lt-50,0.03
Anonine,Netherlands,lt-50,0.03
Anonine,Poland,lt-50,0.03
Anonine,Spain,lt-50,0.03
Anonine,Italy,lt-50,0.03
Anonine,Ukraine,lt-50,0.02
Anonine,Türkiye,lt-50,0.02
Anonine,Hong Kong,lt-50,0.02
Anonine,Malaysia,lt-50,0.02
Anonine,Costa Rica,lt-50,0.02
Anonine,South Korea,lt-50,0.02
Anonine,Brazil,lt-50,0.02
Anonine,Panama,lt-50,0.02
Anonine,Norway,lt-50,0.02
Anonine,Finland,lt-50,0.02
Anonvpn,Mauritius,lt-50,0.57
Anonvpn,Canada,lt-50,0.14
Anonvpn,United States,lt-50,0.14
Anonvpn,United Kingdom,lt-50,0.14
AnonymousVPN,Netherlands,lt-50,0.30
AnonymousVPN,Canada,lt-50,0.23
AnonymousVPN,United States,lt-50,0.12
AnonymousVPN,Ukraine,lt-50,0.07
AnonymousVPN,Latvia,lt-50,0.05
AnonymousVPN,Luxembourg,lt-50,0.05
AnonymousVPN,South Africa,lt-50,0.02
AnonymousVPN,France,lt-50,0.02
AnonymousVPN,Germany,lt-50,0.02
AnonymousVPN,Lithuania,lt-50,0.02
AnonymousVPN,Sweden,lt-50,0.02
AnonymousVPN,Romania,lt-50,0.02
AnonymousVPN,Italy,lt-50,0.02
AnonymousVPN,Czechia,lt-50,0.02
Astrill,United States,1k-4.9k,0.50
Astrill,United Kingdom,500-999,0.31
Astrill,France,100-499,0.04
Astrill,Canada,50-99,0.02
Astrill,Germany,lt-50,0.02
Astrill,Taiwan,lt-50,0.01
Astrill,Lithuania,lt-50,0.01
Astrill,Netherlands,lt-50,0.01
Astrill,Romania,lt-50,0.01
Astrill,India,lt-50,0.01
Astrill,Japan,lt-50,0.01
Astrill,Hong Kong,lt-50,0.00
Astrill,South Korea,lt-50,0.00
Astrill,Malaysia,lt-50,0.00
Astrill,Hungary,lt-50,0.00
Astrill,Finland,lt-50,0.00
Astrill,Singapore,lt-50,0.00
Astrill,Israel,lt-50,0.00
Astrill,Bulgaria,lt-50,0.00
Astrill,Argentina,lt-50,0.00
Astrill,Greece,lt-50,0.00
Astrill,Norway,lt-50,0.00
Astrill,Austria,lt-50,0.00
Astrill,Moldova,lt-50,0.00
Astrill,Italy,lt-50,0.00
Astrill,Sweden,lt-50,0.00
Astrill,New Zealand,lt-50,0.00
Astrill,Russia,lt-50,0.00
Astrill,Luxembourg,lt-50,0.00
Astrill,Vietnam,lt-50,0.00
Astrill,Pakistan,lt-50,0.00
Astrill,South Africa,lt-50,0.00
Astrill,Panama,lt-50,0.00
Astrill,Ireland,lt-50,0.00
Astrill,Bosnia and Herzegovina,lt-50,0.00
Astrill,Ukraine,lt-50,0.00
Astrill,Brazil,lt-50,0.00
Astrill,Slovakia,lt-50,0.00
Astrill,Estonia,lt-50,0.00
Astrill,Denmark,lt-50,0.00
Astrill,Portugal,lt-50,0.00
Astrill,Thailand,lt-50,0.00
Astrill,Spain,lt-50,0.00
Astrill,Albania,lt-50,0.00
Astrill,Czechia,lt-50,0.00
Astrill,Türkiye,lt-50,0.00
Astrill,Indonesia,lt-50,0.00
Astrill,Slovenia,lt-50,0.00
Astrill,Kazakhstan,lt-50,0.00
AzireVPN,United Kingdom,lt-50,0.33
AzireVPN,United States,lt-50,0.23
AzireVPN,Sweden,lt-50,0.17
AzireVPN,Netherlands,lt-50,0.06
AzireVPN,Vanuatu,lt-50,0.05
AzireVPN,Norway,lt-50,0.05
AzireVPN,Canada,lt-50,0.03
AzireVPN,South Africa,lt-50,0.02
