provider,hosting_cluster,observed_records_bucket,dependency_score,dependency_class
NordVPN,HostingCluster-001,1k-4.9k,0.90,core-vpn-hosting
CyberGhost,HostingCluster-001,500-999,0.90,core-vpn-hosting
AirVPN,HostingCluster-001,500-999,0.90,core-vpn-hosting
ProtonVPN,HostingCluster-001,100-499,0.90,core-vpn-hosting
TorGuard,HostingCluster-001,100-499,0.90,core-vpn-hosting
Windscribe,HostingCluster-001,100-499,0.90,core-vpn-hosting
Mullvad,HostingCluster-001,100-499,0.90,core-vpn-hosting
TunnelBear,HostingCluster-001,100-499,0.90,core-vpn-hosting
WiTopia,HostingCluster-001,100-499,0.90,core-vpn-hosting
PureVPN,HostingCluster-001,50-99,0.90,core-vpn-hosting
Private Internet Access,HostingCluster-001,50-99,0.90,core-vpn-hosting
BoxPN,HostingCluster-001,50-99,0.90,core-vpn-hosting
FrootVPN,HostingCluster-001,50-99,0.90,core-vpn-hosting
Anonine,HostingCluster-001,50-99,0.90,core-vpn-hosting
EasyHideIP,HostingCluster-001,50-99,0.90,core-vpn-hosting
Cryptostorm,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Trust.Zone,HostingCluster-001,lt-50,0.90,core-vpn-hosting
FastestVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
WLVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
IPVanish,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Goosevpn,HostingCluster-001,lt-50,0.90,core-vpn-hosting
IVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Psiphon,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Astrill,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Sentinel dVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Surfshark,HostingCluster-001,lt-50,0.90,core-vpn-hosting
VPN.ac,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Smartdnsproxy,HostingCluster-001,lt-50,0.90,core-vpn-hosting
OVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
PrivateVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Hotspotshield,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Ivacy,HostingCluster-001,lt-50,0.90,core-vpn-hosting
ExpressVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
StrongVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Le VPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
VPN Unlimited,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Zoogvpn,HostingCluster-001,lt-50,0.90,core-vpn-hosting
GhostPath,HostingCluster-001,lt-50,0.90,core-vpn-hosting
FlowVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
RedShield VPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
VPNUK,HostingCluster-001,lt-50,0.90,core-vpn-hosting
uVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
PhantomPeer,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Getflix,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Froot,HostingCluster-001,lt-50,0.90,core-vpn-hosting
KevinVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Privado,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Safervpn,HostingCluster-001,lt-50,0.90,core-vpn-hosting
VPN Gate,HostingCluster-001,lt-50,0.90,core-vpn-hosting
CactusVPN,HostingCluster-001,lt-50,0.90,core-vpn-hosting
Astrill,HostingCluster-002,50-99,0.72,important-vpn-hosting
Psiphon,HostingCluster-002,50-99,0.72,important-vpn-hosting
WiTopia,HostingCluster-002,lt-50,0.72,important-vpn-hosting
VPNSecure,HostingCluster-002,lt-50,0.72,important-vpn-hosting
VPN Jantit,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Sentinel dVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
NetShade,HostingCluster-002,lt-50,0.72,important-vpn-hosting
HideIPVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
CactusVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
WorldVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
FrootVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
EasyHideIP,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Anonine,HostingCluster-002,lt-50,0.72,important-vpn-hosting
BoxPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
VPN Unlimited,HostingCluster-002,lt-50,0.72,important-vpn-hosting
uVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Zoogvpn,HostingCluster-002,lt-50,0.72,important-vpn-hosting
FlowVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Vpnfacile,HostingCluster-002,lt-50,0.72,important-vpn-hosting
CCrypto VPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
WorkingVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
VPN.ac,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Vpnbook,HostingCluster-002,lt-50,0.72,important-vpn-hosting
FreeVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
GhostPath,HostingCluster-002,lt-50,0.72,important-vpn-hosting
SwitchVPN,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Freevpn,HostingCluster-002,lt-50,0.72,important-vpn-hosting
Froot,HostingCluster-002,lt-50,0.72,important-vpn-hosting
VPN Unlimited,HostingCluster-003,lt-50,0.62,important-vpn-hosting
Psiphon,HostingCluster-003,lt-50,0.62,important-vpn-hosting
Vpnht,HostingCluster-003,lt-50,0.62,important-vpn-hosting
Riseup VPN,HostingCluster-003,lt-50,0.62,important-vpn-hosting
VPN.ac,HostingCluster-003,lt-50,0.62,important-vpn-hosting
